text	labels
Esin Ayse Kaya it's great that your dad was like this, unfortunately there's very few really moderate Muslims. You're definitely western enough and so was your dad but the majority of Muslims in Europe would like sharia law.	1
You can shut up if you want. Actually that would be highly preferred. :)	0
I see that you're a blonde, case close.	1
Gialeigh Liou , I don't disregard others opinions but I'm standing by to what I said. Everyone's welcome in my country as long as they are willing to assimilate with regards to local values and culture which majority of Muslim immigrants have failed. And your argument where you have brought up the crusades is pathetic, the best you can do is bring up 12th century events? Do you know which century we currently have? If Islam is going through violent stages then I'd like for it to be going through it in Middle East and Africa, not in Europe where all I care about is the safety of my family and friends.	1
"And ladies and gentlemen, the example is above, Naaz Dhalla listing positives of sharia law...lmao. This is what's coming, and it's all good since women have ""certain rights"" and they dont rebel so it must be good for them."	1
David Olend For the west to be longsighted and not support extremists groups at the sake of making money or short term goals. ISIS would not be anywhere as powerful as it is today if western powers didn't illegally occupy iraq and completely remove all army personnel and councillors. Borders were left open and many ex-soldiers started working with al qaeda to fight the occupation. Al qaeda was non existant during Saddam's time. It simply wasn't there. ISIS is an offshoot of al qaeda. The west supported and financed al qaeda against the Russians in Afghanistan. Also the west's attempt of removing bashar by supplying weapons to the ''moderate rebels'' in Syria was just stupid. A lot of these weapons ended up with ISIS making them stronger. We all know that the west supports Saudi Arabia, a big funder of extremists organisations. Saudi Arabia is the UK's biggest purchaser of weapons. The less powerful ISIS and Al Qaeda are the less propaganda there is to brainwash people with. There are many factors leading to the mess we are in and the west's middle east policy is one factor.	1
David, I wish I knew. If I had that knowledge I would definitely share it. They are sheltered and misguided, their women uneducated, their men brought up with ideas that they are superior. How does one deal with any brainwashed group? Way before this issue came to Europe, I grew up seeing it in Turkey. Yes, Turkey is not run by Sharia law but there are still extreme individuals who take it into their own hands. The only thing I've seen work, and very slowly, is just to start educating those children. Have the next generation more knowledgeable about the world.	0
Hadi Jawad You are absolutely correct in your analysis of who is responsible for the creation of ISIS. But that wasn't the topic of discussion between Esin Ayse Kaya and myself. There is an immediate threat spreading through Europe at the moment. One that needs to be immediately eliminated.	1
David Olend I think what Esin meant was that eduction is the key to fighting religious extremism and it's true. That's why Europe needs to stop allowing for so much religious freedom including religious schools etc. Schools need to be secular ,no headscarves in schools, teach Muslim kids since they are little that it's ok to be gay, that women are equal to men etc. This is by the way the least we can do on top of stopping immigration from Muslim countries. I am pro EU but I'd advocate for abolishing of the schengen zone after what Merkel has done.	1
Delfina Jones 1. you just told me that I was sarcastic behind the screen but clearly I wasn't. Do you even know what it even means? . 2. You're telling me that I did not name ONE positive thing that Islam gave to the west. Are you blind? I gave you a very clear point and i STRENGTHEND it with sources. They are NOT opinions. They are clear and strong FACTS. unlike what you babble about 3. You're just repeating the exact same thing: Calling me stupid, making insults about my religion and then telling me that I'm wrong because...your opinion? So to conclude: You are the reason why I wanna bash my head on a wall and forget that I ever read your comments. and please, oh wise one, I challenge you. Name ONE thing that makes islam bad.	1
Sagal Aden I have never called you stupid, but you very conveniently haven't addressed the points I have made. I have already pointed out many things that are bad about Islam: you almost worship a man who was a rapist and a pedophile, your book says that women can be raped if taken into slavery, your book allows a man to take 4 wives yet a woman isn't allowed 4 husbands, is she. Your religion requires total submission, shames women, doesn't allow them to make free choices. You haven't given me any positives about Islam, you have referred to very far past, again what has Islam brought to the west in last 30 years apart from misery, honour killings, bombings, rapes etc. Even Salman Rashdie had fatwa issued against him because he criticized Islam. I'm sorry but your religion doesn't merit respect because it's a religion. It's a choice and represents certain views and ideology and it will be subjected to judgment.	1
"to not respect a religion it is not the same thing to not respect the people !!!And this is what so many Muslims of our days don t want to understand (and imedialtely call the others ""racists ) ! You, as Muslims, should change your own religion and bring it to our days .2016 (almost ) and then nobody will have nothing to say about it .So ,depends on your capacity to understand this !"	1
Hadi Jawad Tell me if you agree with the facts and opinions presented in this video. http://www.israelvideonetwork.com/the-untold-story-of-violent-muslim-opinions-graphic-warning/	1
"Delfina Jones 1. I don't worship a pedophile. I respect and adore a prophet. Placing him into the category of a pedophile is beyond pathetic as he lived 1400 YEARS. 1400 years. People change in 1400 years. In the future, people would call us pedophiles for marrying people at the age of 20-28. That's the problem that you don't seem to understand. It was a norm to marry women at a young age. How can I call someone who lived more than a thousand years ago a rapist if it was a normal thing for EVERY human on the planet at that point to marry young females? Marriage is also a choice in islam. I'm a young woman yet my parents don't force me to marry at a young age. THAT is culture. A culture that has ruined the true image of islam by mixing its own blend to make islam look ""nice"" for them. But it isn't. 2. Slavery is allowed but we rather call it housekeeping as slavery basically means a slave being owned to a master and does everything that the master tells him to do. Islam is against that as it says that all ""slaves"" should wear the same clothes as the master, eat at the dinnertable with its master and to not be forced to do work that is beyond their strength...kind of sounds like a familymember to me. You're not allowed to rape anyone because that is considered Zina: an act that is forbidden by Allah. And the whole marriage by 4 women but women can only marry 1 man: I don't remember exactly but it was something to do with there being more women than men in our world (because war). However, that doesn't mean that a man can just randomly go get a second wife just like that. He has to ask his first wife and if she agrees (nowadays a i doubt that), he has to go through his finances so he knows that he's able to take care of a second. I doubt even more that there will be a woman that would want to share their love for a husband with another which makes it harder for a man to find a second wife. If men aren't capable of taking care of one wife (as it says in the quran but you don't seem to care about that), the man MUST settle with having one. Also, nowehere in the quran does it state how many husbands a woman can have but yes it does say a man can have 4 wives. For women, it would mean that she could marry as many as she pleases (though WHY would a woman wanna do that? I don't wanna have more than one husband and I know for certain that we would enjoy putting our efforts and love for one guy and not many and men would not enjoy having to share their love for one woman but some regions in the world have different norms (which i'm TRYING TO POINT OUT because the prophet and those who lived with him existed in a different time with DIFFERENT norms). Today we have somewhat the same norms but because of differences in timeline, we change alot for the better but know that we can follow the same norms. It's just that it's very important to make everyone and God happy . 2. Slavery is allowed but we rather call it housekeeping as slavery basically means a slave being owned to a master and does everything that the master tells him to do. Islam is against that as it says that all ""slaves"" should wear the same clothes as the master, eat at the dinnertable with its master and to not be forced to do work that is beyond their strength...kind of sounds like a familymember to me. You're not allowed to rape anyone because that is considered Zina: an act that is forbidden by Allah. And the whole marriage by 4 women but women can only marry 1 man: I don't remember exactly but it was something to do with there being more women than men in our world (because war). However, that doesn't mean that a man can just randomly go get a second wife just like that. He has to ask his first wife and if she agrees (nowadays a i doubt that), he has to go through his finances so he knows that he's able to take care of a second. I doubt even more that there will be a woman that would want to share their love for a husband with another which makes it harder for a man to find a second wife. If men aren't capable of taking care of one wife (as it says in the quran but you don't seem to care about that), the man MUST settle with having one. 3. You want to know the positives that Islam has brought 30 YEARS FROM NOW? You weren't being clear with your point as you challenged me to state the positive things that Islam has brought to the west. I did but you are so reluctant to holding on to your opinion because 30 years ago, many ARABIC countries, not islamic, ARABIC countries decided to rebel against their leaders, resulting in new leaders and more rebellious groups are formed to overthrow the leaders. They use anything that is necessary to take down the leader and when they do, they have NO IDEA on how to govern at all. Are these muslims? Of course not. If strongly hold on to your actions and blame people when clearly there were better options (peace deals), then you're not a muslim. You're an idiot. Ignorant idiots. 4. The BIGGEST issue that I have with people criticizing isla m is that they point out issues with countries and how they govern. Both sides (the west AND ""muslim"" countries) are doing everything they can, knowingly and unknowingly sabbotaging the religion that once stated that through knowledge and peace, there will be victory. The problem isn't interely muslim countries, it's nationalism. It still exists and is the main reason why many have such hatred and rage towards others. even countries considered ""muslim"" have a grudge against each other (look at Saudi Arabia and Iran). Islam is a religion that unifies people, wether colour, race, sex, age or ethnicity. All it takes is an open mind and you might learn things beyond the screams and echoes from the media. I have watched Christianity and its history, I have seen the issues with Zionism vs Judaism, I have heard of people who believe in Buddhism but do terrible acts against others. WE humans are responsible for OUR actions and what we bring forth to our religion. Islam is always waiting for people to listen to it but many have always glared behind for other things and sometimes turned their cheeks. I CAN BRING a good image of Islam and I can also BRING a bad image of it aswell but Islam as a whole is never changed. It stays the same. Only I can become distorted or bad. THAT is why you see muslims bombing themselves and killing in the name of God: They are enraged, confused and don't know about Islam. When you live in a place where foreigners (US) have bombed, destroyed unity, taken their properties and placed terrible leaders there, what are the odds that you end up becoming confused of the situation, just like many, and do everything necessary to take back the good times. Suddenly you get it back but what CAN you do? You don't know how to govern, you know how to fight. All rebellious groups start out well, fighting for justice and then suddenly along the way, they become confused and even mad with power and strength that God has given them, only to use it to hurt others and blame God for that. There is a problem in these places but to solve it, PEOPLE NEED TO STOP BALING EVERYTHING ON ISLAM AND GET THEIR BUTTS OFF OF THESE PLACES and I'm talking mainly about the US. PS: My religion is MY choice but just like you have your choice, I wish to respect it and the same should go with you."	1
Are you human, Delfina Jones? When your ancestral lot thrashed themselves at the mercy of other foreign lands, others gave welcome to them. How can you be such a sociopath to feel comfortable enough to suggest that people in need be shut out? You are sick. Can we just shut up about you, Delfina? Can you just return to your residence and get out of your holiday picture area? Perhaps you should be excluded from travel to other holiday destinations?	0
"Because most of them aren't in need you naive fool. Bbc is showing you these heartbreaking images of refugees while in reality most of them settled in Libanon and Jordan and the rest is dying. Those that come to Europe are greedy violent opportunists and economic migrant. But like a naive fool that you obviously are you believe in everything that leftist media shows you, Robert Hidalgo. And that ""holiday destination"" is in my own country, moron."	0
Hadi Jawad I am familiar with UN statistics. I was talking about make immigrants from countries other than Syria who traveled to Europe. Even Syrian refugees however broke the law when they refused to register in Hungary and demanded to go to Germany and Sweden, countries with the highest welfare. If you're escaping from a war torn country to be safe, then you're safe but you're very poor so you go to another country which is also not good enough so you travel through 9 more to get to the best one then you're not a refugee. Also that 64% of men are cowards, west should arm them and send them to fight isis just like our grandparents fought the nazis.	0
The real solution for refugee crisis is if you don't like refugees, than stop making them refugees by bombing their homelands !!! Dimwits	0
White House created the mujahideen, Alqaida, Isis and Talibans. Hillary and tony Blair already have accepted the charges. Muppet!! Only inhumans could kill millions of Native Americans to establish their imperialist Govt. To what religion did these bombers of Hiroshima & Nagasaki belong? To what religion belonged the killers of 5 million Iraqi civilians who invaded their country in search of non existent WMD! Double standards yield twisted judgments... To what religion did Hitler belong?	0
USA use atomic bomb in Hiroshima and Nagasaki And come to Iraq to judge Saddam Hussein because he use chemical weapons as they claim USA government us the evil in earth and they call us terrorist	1
There's war and then there's rapists paedophilia atrocities and the Geneva convention NO HUMAN SHOULD SUFFER what Hitler did and what these vile subhumans are doing today I don't see anybody forcing their hands!!	0
Azim you are absolutely right regarding the cause for all of this misery... The CIA should have stayed the hell out of everyone else's business... But behind the CIA is the new world order and George Soros... People are waking up to the truth ... And they got everyone fighting everyone else while they steal everybody's freedom😡😎	1
It's good as long as they stay in the Middle East...	1
Neil, you're too dumb to understand what I wrote.	0
Nd now they are very thirsty for non muslim blood	1
Look at this pakistani piglet.. We are debating on isis and syrian refugees but you porks are always sucks our dicks	0
You should said that to the Europeans in WWII when their refugees fled to North Africa .(butthole)	0
Azoga, you live in the Usa and can't even speak English properly... Go back to Morocco, Muslim!	0
Propaganda!! Laughing up their sleeves that we're falling for the sob stories. 'Let's put some kids & women out there& the west will fall for it'!	1
Russia’s increased activity along the Syrian-Turkish border signifies the closing phases of the Syrian conflict. With Syrian and Kurdish forces holding the border east of the Euphrates, the Afrin-Jarabulus corridor is the only remaining conduit for supplies bound for terrorists in Syria to pass…..When this corridor is closed and supplies cut off, ISIS, Nusra, and all associated NATO-backed factions will atrophy and die as the Syrian military restores order across the country… With that support being cut off and the prospect of these militants being eradicated, the true sponsors behind this conflict are moving more directly and overtly to salvage their failed conspiracy against the Syrian state. What we see emerging is what was suspected and even obvious all along – a proxy war started by, and fought for Western hegemonic ambitions in the region, intentionally feeding the forces of extremism, not fighting them http://off-guardian.org/2015/12/19/why-the-west-can-never-defeat-or-forgive-russia/	1
"Saudi Arabia, one of the wealthiest nations on the planet, has an air conditioned tent city which can house millions. How about instead of trying to guilt the people of Western democratic societies into resettling these ""refugees"" you do so with the wealthy Gulf States; who refuse to resettle their brethren, who follow the same Islamic ideology which is incompatible with Western democratic values."	1
I guess we can thank the Labour party for all this world crisis and migrant problems. I hope corbyn and Co can house some in their homes? Yeah right!	1
The Military Industrial complex, the Central Banks and corruption from people like Hillary and Obama among all of their accomplices are to blame. Every politician that votes for every war has their campaigns funded by war contractors and in many cases owns stock in the war contractors. Weapons used to be made to fight wars, now wars are created to sell weapons then steal control of the resources.	1
This site sure is pushing the Propaganda a lot lately	1
What I find funny are people who jump to respond to my comment thinking I give a crap what they think..	0
Christine Madden What are you even talking about , and what does your response have to do with anything..god people are so petty	0
It is about a mysoginist ideology non Western lifestyle upon us and we cant debate it for fear of label or worse.	0
just to get people sympathy to promote immigration with the help of saudi funds .....BBC war on infidels	1
Propaganda at it's best, or worst, take your pick. When Mohammed is looking to be the most popular boy name in England, you have a problem. But hey, it's all too late now!	0
The BBC always makes sure there's a few strategically placed children in all it's photos/video footage.	1
Overseas recipients of charity should be taught gratitude as we are in this country. They are bloody taking over.	0
As usual the BBC is at it again ... Plugging their agenda ....	0
Bbc sucking up again	0
Refugees? That forsake refuge, then swarm across Europe hunting for a free life? Yeh ok.	1
BBC is so Pro Islam that it makes me sick	0
Wow ... you guys are just as inhuman as these evil people here in the US ... cut from the same cloth...	0
How no mention of Denmark making them pay searching them for assets great idea . The ones coming here have money the ones not have nothing that's why they stay in camps . Wonder how many are well of get here and claim benefits.and have thousands put away	1
Burundi refugees are not welcome by Justin Trudeau Canada prime minister. Is it because they are black?	1
Quick... Bomb it.	0
Bbc is a joke now	1
What you mean so sad?? Take them in your house if you like.	1
America needs to protect and provide for Americans!!!!	1
BBC just stop lying in general about these countries and the crisis! I'm getting really fed up with this one-sided disgusting propaganda! I know it's not strictly a response to this video, but please let me say this. These people (I'm perfectly aware that not all of them, but most) are very agressive, when they don't get what they want. They demonstrated it very well at the Hungarian-Serbian border two days ago. BBC always shows crying children. But the fact is they're crying, because they are used in order to get sympathy and when they get tossed around they just get scared of the yelling and agression. They're crying because the migrants' actions make them cry. Not the Hungarians, Croatians or Serbians, The migrants always use babies or little children as shields. How can they do this to those poor kids? And they're called 'refugees' by BBC...yeah some refugees these are.... There are leaders among them who tell the crowd what to do via megaphones. Yeah obviously when you're fleeing from danger you must carry megaphones with you in your backpacks...yeah right. And the fact that BBC is assisting this Trojan horse move is outrageous!	0
What I think should be done is back in Syria, more young men who are fit to fight should fight ISIS and the government need to put more funding into that (I am aware that the UK are helping to train rebels against Assad and ISIS already).	1
You are narrow minded. Of course they will be aggressive!!!!!!! They are tired, hungry, some will be poorly and be faced with a no at the borders you know? BECAUSE THEY ARE HUMAN!!!!!!!!	0
Janine Ewen First of all, don't you dare yell at me, lady! Second, I refuse to be called narrow-minded! I've never been and I'll never will be. I do understand both sides. However, agression is NEVER acceptable!!! I'm sorry that this is acceptable to you. When they'll end up in the UK, you'll see it with your own eyes! Stop making excuses for them, when you live thousands of kilometers away and you're completely clueless! WE ARE HUMAN TOO and we have rights too. Our country turned into a dump, because of all the rubbish they leave behind and they are agressive. Listen to me, very carefully Janine, we will not tolerate this behavior. This is a civilized, European country, not the Middle East. These savages threw blocks of concrete rocks at our police and 20 of them got injured and they treat their children like dirt. Shame on them and shame on you for being a narrow-minded, uneducated person!	0
Simone Tocco I understand your point of view. However, excuse me for saying this, but you don't have to deal with nearly as much influx as we do. You get about 400 people a day, we get 3000-8000 a day. There's a bit of a difference there. Yes, it's great that you shelter them, we did too, but they revolted and refused to register according to EU law. And again, excuse me for pointing this out, but what you do doesn't really help the EU. You don't stop them, you just let them through and all of them will flood the UK eventually. Let's be realistic here, most of them are not refugees, they're just looking for a better life. It's great, but Europe's benefits system will collapse under the pressure if we let millions in. There's a much better life in America for example, still i'm not gonna go there, be agressive and demand my rights, while I don't fulfill my obligations.	0
Agnes Toma, people never like hearing the truth. here is the US it was similar with the South American refugees that where coming (and still are) in scores and the media kept showing children, but not the parents who were abandoning them, throwning these children over the fenses (literally) to forcibly gain entrance into the country. So 7k are placed in my city and state & the crime is immeasurable. Child killings, torture & abductions are higher than ever. Heroin & needle deali dealing is everywhere. Muggings, home invasions and school violence is uncontrollable and domestic violence, well its all day everyday. All this started within a month after the placement of the refugees into the US and 18 months after their placement is way at all just really started to tear down and it's just become a war zone in the state of Massachusetts. The people don't want to believe that these things happen and that people who illegally push their way in or force their way into a country are somehow good and decent and loving and caring and want to make a better life for themselves. It's just not true.	1
Fleeing from syria wont help! They have to face the Monster of their country i didnt know that strong young men are all stupid and coward ,if they will unite and be strong , time will come They will end up a winner ! But look they run all !	0
https://www.change.org/p/the-director-general-of-the-bbc-tony-hall-bbc-stop-the-bbc-s-endless-biased-coverage-of-the-economic-migrants	1
http://youtu.be/tIuqDC7mnQg here a vodeo to bbc lying tehniqes the migrant directly push an other women to pepper gas for a better picture for bbc	0
Exactly. Sometimes i'm quiet amazed with their gorgeous dresses. While some other refugees are carrying American tweesters with them...! Even we dont use such costly items...! :-O	1
Agnes Toma You must be one of those brain-dead racists.	0
What a media didnt shows you is this. Everybody said they are not happy with hungary but they not happy now with Greek Italy Austria Germany France and this is just few videos what media dont like to show the people. They only shows this kind of things to make us Rassist and xenopob Migrants Riot Greek https://m.youtube.com/watch?v=FN1_f86WSDQ Migrants riot Italy https://m.youtube.com/watch?v=fX73ggsMNEI Migrants Riot Germany Dresden https://m.youtube.com/watch?v=dhy3lZKJs9w Migrants riot France, Paris https://m.youtube.com/watch?v=1y28zkxUtUs Migrants Riot Austria https://m.youtube.com/watch?v=emTB-C6Zz8g Turkey is safe. But the migrants try to get to Greece and Bulgaria. Greece and Bulgaria are safe. But the migrants try to get to Romania and Hungary. Romania and Hungary are safe. But the migrants try to get to Austria. Austria is safe. But migrants try to get to Germany. Germany is safe. But migrants try to get to Sweden. These people are NOT refugees. Refugees are people who get to a safe country and ASK for help; which the country then either supplies if it can, or ASKS other countries to supply if it cannot (which is where we come in). People who arrive in a safe country and decide its not quite what they are after, and so march through safe countries to find one they do want, are NOT refugees. They are economic migrants.	0
Michael you just jelious because no one want to go to Romania ? :D We can send you some to take them home	1
George Thornton, so when will you be adopting these families into your home? Go ahead I'll wait.	1
Michael Strömpl Oh it's rich...so a Romanian is trying to educate me on humanity meanwhile you guys are being nasty and discriminate against Hungarians living in Transylvania all the time! Oh by the way, I'm a law student, so no I wouldn't qualify myself as 'brain-dead' thank you very much. Let me ask you, dear: since when is islam a 'race'? Here, I'll help you: it's a religion. Looks like you're the brain-dead one here after all. I don't know what they teach you at that university in Bucharest, but the very basics are certainly missing... This is elementary school level knowledge, my friend. Oh and FYI: I don't hate the islam religion, the only things I hate are agression and terrorism!	0
"Syrian president planed it, . He said it well it will come to u ""europe"". .... superpowers should rethink about putting nose in mid East..... .... after 15years will u be surprised to see boom blasts in Europe on large scale"	1
Today Croatia send the migrants to Hungary around 11000 people. We cant do anyithing with them.... They said dont want to be register in Hungary and Austria or Croatia they want to be register Germany or Sweden. They can choose whatever they want they dont need to follow the law. Hmm this is gonna be interesting . When is the European union will talk about this? Where is a Nato? Why they not go there to fix the problem. Where is the Un? Un is complaining about Hungary why they not send troops to make peace ? Hmm	1
Janine Ewen Hungry ? Really? Did you see what you're wasted ? Discard the food ! .There Is a lot of hungry a lot of the Hungarian people and children here in our country who can not get anything .. In addition, there is no law to him , they do what they want and do not prevent anyone! Hungary of the Hungarians , Hungarian law everybody has to adhere !!!	1
I am afraid it is not BBC only.... most western media is doing exactly the same. Huffington post, Sky news and the list goes on. One sided, misleading information was everywhere for an entire week Hungary was on the front page of all the UK newspapers but other issues like arson attacks on refugee camps in Germany, people sleeping on the street in Austria, ( just a side note both of these countries had more time to prepare for the influx of migrants....) violent behaviour towards police were not reported.Mass manipulation at its best..... But looking at the comments I am glad to see that most people cannot be mislead and started to realise how the media is trying to influence them. Also well done for explaining what is happening in Hungary, without going down to a certain level. As I said in my other comments it will be interesting to see how those who refuse to register will be integrated when they cannot respect the first law about border control.....	1
I was wondering if this biased reporting may actually be arranged by the governments. Perhaps they want to be seen as compliant and humanitarian but actually fear a Muslim spread in Europe. Maybe they are afraid that if they don't help, Muslim countries will attack Europe. Or maybe they know we'll retaliate and argue that they are doing the wrong thing and that lawless people are not welcome so they will have democratic votes against what the UN is proposing. Just can't stand to think they could really be this stupid!	0
We don't even know who these children are. They don't have any, or reliable, papers. They could be orphans taken along to provide just the sort of cover needed to create sympathy. 70 % of the people storming the EU are able bodied men who shoul be fighting for and protecting their homeland. Traditional refugees are women and children...not men. So they have abandoned their countries, abandoned, who knows how many women, children and elderly to fend for themselves. Cowards or potential terrorists?	0
In two years these migrants will be thinking of building pressure cooker bombs. They will NEVER integrate. We will have arab ghettos and arab schools. Look what is already happening in France. Wake up Europe !!	0
The agenda is destabilization. Causing a religious war to reduce population and increase atheism. http://bit.ly/1dIIefe	1
Simone Tocco You have compared the Hungarian refugees from 1956 to the Syrian refugees. You have called our attention to brush up our memory, now I'd like to ask You to do the same. ;-) In 1956 the Hungarians immediately after crossing the border e.g. to Austria they went to the local authorities and co-operated with them. The Hungarians stayed in the refugee-camp as long as they were ordered to do so and left the camps only when they were allowed to. The Hungarians have used their passports to identify themselves and have accepted the registration process. The Hungarians have left the refugee-camps only to that country which accepted them upon their registration data. The Hungarians did not attack the border/fence/soldiers/policemen etc of other countries but they did everything to follow the rules and traditions of the given foreign country. And at last there were only 200.000 Hungarians, while there are 4.000.000 Syrian refugees. The Syrian refugees do not stay in their neighbour countries but they move toward to other countries upon their guess and without any documents. They cross green borders without permit and they do not want to use the OPEN border stations, although those are OPEN. They do not want themselves to be registrated and do not want to stay in the refugee-camps. Instead of co-operating with the local authorities, they attack the borders and the policemen. They do not stay in refugee-camps and do not accept any help (food, drink etc) from the local authorities and churches but money. They do not use even the provided waste bins, but they simply throw their litter to everywhere. They do not want to follow the local law and traditions but show aggressive behaviour. I accept that their norms are different to ours, and that there is a big cultural difference. But it seems to me that at the present only we (Europeans) act tolerantly while they stick to their rigid customs. It is hard to imagine any real co-operation with them if they do not change their attitude.	0
Islamist takeover of northern europe is well under way all european countries should reinstate proper borders as a matter of urgency !	0
A container full of weapons trying to be smuggled ino Greece was found !!!!!!!!!!!!!!	1
Its men of fighting age who are mostly tryn to get to europe. Where is the woman and children. This says it all im afraid	1
Ekama Noieau you don't need weapons.... Minds are the most powerful and destructive weapons ever created. Europe will be receiving over a million refugees that do not have any clue what we are, just thinking that we are responsible for their loses.	1
Are you guys seriously being racist or just joking?	0
And their minds are less scientific, less methodical, less logical and less organised than our's, they can squabble and protest but at the first sign of major trouble they will be put down. They are not a major threat to us or our culture because we are stronger, smarter and vastly better equipped than they are. They either integrate or they fall through the cracks. Personally, I think the risks of rejecting them are far higher than accepting them. Accepted they are split up, put all over europe, in different communities, rejected they return together to their own countries blaming us for their problems.	0
Ekama Noieau They have something European don't have and it is NUMBERS Most every family from those countries, have more children per capita than european families .And in many cases they do not work , you will paying for all those children and extra wives	1
Ekama Noieau they will reject Europe, but the pull factors such as financial benefits and safety are stronger than the willingness to return to their third world countries cause Syria was never a first world country.	0
Ekama Noieau!!! Our minds are less scientific!!! Great finding!!! Is this acceptable logicaly,reasonably. What about American clock boy!!! Most Syrian are University graduate and alot of us invented a lot of things but no one was caring if them!!! We have a lot of great doctors who are even more Cleve than European doctors.your opinion is silly and not logical	0
I'm not saying biologically Farhan, I'm saying culturally, they receive less education in Syria, there's less security, freedom of expression etc, Clock Boy was raised in America, he is ethnically Syrian, but he is culturally American. Hence I would consider him American. This isn't a race thing, I'm talking about these refugees, who, on average, are as I stated them to be, if they weren't their country wouldn't have collapsed. And if they were responsible they'd be reaping the benefits right now. They're fleeing poverty, war and dictatorial government, they're not a threat to us, all they bring is competition, which spurs the economy, innovation and a population boost, as long as the EU splits the load evenly these migrants/refugees will be a net gain for Europe, the way it's currently being managed though is that Germany will be overrun, fuelling tensions, spreading fear and causing problems, the burden needs to be shared for this to work.	1
"""And their minds are less scientific, less methodical, less logical and less organised than our's""... and Ben says he can´t see the racism in the comments. Are you stupid?"	0
We need a firm - but compassionate - repatriation programme	1
Carl Bennet Nienaber A person who has received a primarily Islamic education will be less scientific, less methodical and less logical, that is obvious and has nothing to do with race, that would be applicable whether they were Syrian or Swedish. Some are refugees, some are migrants.	0
Yes, if you think in racial terms, the term 'we' to me means Britons, individuals born in Britain, which include a wide variety of ethnicities, who receive a British education and are raise around British culture, and so have developed better critical thinking skills and understanding of the world than their average Syrian counterpart, so although I would not consider these refugee/migrants ever British, their children could be, as opposed to sending them home where their children will be born into deprivation and conflict, and so more likely to become the next generation of militants. I may very likely be termed a cultural supremacist, but I am not racist at all, I think interbreeding is the best way to assure positive trajectory, mongrelisation assures greater vigour and superior genetics, as can be demonstrated in all animals.	0
I hate Islam and its brainwashed followers	0
How will they buy Ferraris with the burden of refugees on their shoulders? Arabs are selfish.	0
Arabs are natural liars, western journalists are stupid enough to believe them!	0
Nah,They're too busy building massive sky scrapers with billions of money,they won't even let a single refugee in.	1
Cuz they know they are crazy	0
But really can people can be so ignorant! pranoid,not everyone dream England,a bit of humility do not make damage...get informed,only the 5 per cent arrive here,the 95 is in the middle east.	0
Slowly the Muslim terror snakes it way to Europe.	1
Yea slowly as the europe done before in middle east. Now time has come to live with worries for europe like middle east	1
