	text	labels	split
26	"Delfina Jones 2. Though islam is a religion that shows similar patterns to judaism and Christianity, the religion was giving in clear message that 1. it came in peace:The worshippers of the All-Merciful are they who tread gently upon the earth, and when the ignorant address them, they reply, “Peace!” ""Quran: 25:63 and: And when they hear vain talk, they turn away from it and say: “To us our deeds, and to you yours; peace be to you: we do not seek out the ignorant. Quran: 28:55 (the first letters to ever come from quran, sent to humanity was ""READ!"" = KNOWLEDGE) 2. it was finalizing what came from the previous religions but also adding alot of details that will make it almost IMPOSSIBLE to be corrupted (memorizing by all muslims, scientific facts, stories from the past, more laws and the way it's written is just not HUMAN. It's so precise)."	0	test
27	Commenting back on how you said being a moderate Muslim is like being a moderate KKK or Nazi; if that's true then all religions apply. All major religions have a negative side. To be a true believer, you have to belive in that negative side. Well.. Come to think of it.. Humanity is evil within itself. I guess we have an agreeing point.	0	test
28	Esin Ayse Kaya Islam is not compatible with western beliefs. Unless it reforms there is no place for it in Europe. We spent decades fighting for tolerance for gay people and sexual freedom for women. We don't need some cult trying to push us back.	1	test
29	Sorry if the west doesn't ignore the danger of Islam as you wish. Your insults mean nothing. Yes of course, everyone is Aware that not every Muslim is a danger to society, but to ignore the portion who do wish harm to the west would be even more ignorant.	1	test
30	You could be made a refugee at some point of your life, have some compassionate lady or its best to keep silent.	1	test
31	Delfina Jones 3. It gave blacks and women rights = It can't get any WESTERN than this. At a time when women were treated worse than animals and slaves were beaten for just a TINY mistake, the prophet shed some light to these people. let me ask you something: If you are to be the in one of the RICHEST tribes in the land but your family believes in something that you just don't feel is you. You have a different opinion and tell those who suffer from YOUR family that there is something better that will make them more valuable but that they need to sacrifice their belongings to a more simple life , what are the odds that those who believe would be sick, poor, old, slaves and women? Those who have nothing, those who have no value in society, finally they are something to someone: God. think about that also: read this: http://www.soundvision.com/article/islams-manifesto-of-universal-brotherhood-of-human-beings	0	test
32	"Delfina Jones If you're gonna use the ""what about those who bomb people and scream in your religions name"". I say this: Christians who live in peace are CLOSER to the title of ""muslim"" than these bombers can ever be. You wanna know why they're strapping a bomb around their waist? It's because there are western governments that have bombed their houses, broken families (members dying) and knowledge being wasted (because they spend more time fighting you than reading a book). In the past, the prophet and his friends fought because they defended. There are people out there, who proudly stand as muslims and protect their country from being destroyed from terrorists (The west AND the bombers). Why should they be marked as stupid or ignorant or a terrorist? I live in a country where there's a party that's the second largest. They speak ill about anyone. immigrants, women, religious, those who rebel. They stand proudly for what they speak yet say that they know how to save our country (kinda like D.T) but they don't. They wear fancy suits and speak in a lovely manner but their purpose is loud and clear everytime and yet people still believe that they are right. Islam was beautiful. it shed light to those who were oppressed, abused, hated. Now there are those who abuse its name just to get what they want. Giving it a bad name when they don't even know what it's been through. SO JUST STOP. Muslims don't make Islam better. Islam makes muslims better. I rest my case..."	0	test
33	Islam gave women rights just like Saudi Arabia allowed them to vote to give them the illusion of rights too. Women in Muslim countries have no rights like women do in the west. I wonder how your parents and brothers would have reacted if you decided to announce to them you were becoming an atheist, putting a mini skirt on and going to spend a weekend at your boyfriend's house. I have read Quran and its misogyny is transparent. Also women rights are non existent in Muslim countries because they have religious laws, not secular laws. There is a lot of ex Muslim women who were raised in Islam and say the same thing. Also, you have completely ignored my question again.	1	test
34	Delfina Jones I like how you say that EVERY MUSLIM COUNTRY represents islam. for gods sake, they have different cultures you know. THEY are the reason why these countries are a mess. Afghanistan is not Saudi Arabia. Pakistan is not Egypt. Somalia is not Turkey. There is a difference but they share islam as a faith. Still, they have caused many violations that have clearly been condemned by the religion but NO ONE seems to care if someone opens it and shoves it towards media and those who did the act. oh wait...don't muslims from all over the world do that?	0	test
35	It is compatible with Western beliefs. I am proof of that. My parents are both Muslim and I was born and raised in the USA. I was taught to read the Quran and to be a good person. My dad wasn't too pleased with Quran school and he had a good reason. He didn't want me brainwashed into extreme Islam. I see why, those people are horrible and their ideals are best left for the stone age. My dad believed in the freedom of every being. My dad never told my mom what to do. My mom doesn't cover and she works full time, not a house wife. I was taught to be independent, taught how to drive by my dad, was encouraged to work and to make my own decisions. I respect other people's beliefs and sexualities. My friends consist of many different backgrounds and beliefs. I'm friends with an atheist, bisexual, gay, lesbian, and transgender. I even enjoy conversations with this very religious Christian. To me they aren't those labels, they are just people whom I enjoy being with. My sister goes to a Christian University and has made friends with a nun. Everyone should have the right to belive what they want and no one should force any believe on them. So tell me, am I not western enough? You can't look at life through horse blinders. There are bad and good people everywhere. To belive elsewise makes you just as bad as those extremist because they too are looking at life through horse blinders.	0	test
36	Yet each one of these countries implements religious laws, each is a backward hole where women are treated like cattle, Turkey is the most normal one because funnily enough is also the least religious. The only times when Islamic countries were advancing was when religion was pushed aside, such as during Sha in Iran.	1	test
37	Delfina, I do agree with you on your point with religious law. Church(and in this case, Masque) and state should never mix. I belive that is where most problems from the middle east stem from.	0	test
38	Esin Ayse Kaya it's great that your dad was like this, unfortunately there's very few really moderate Muslims. You're definitely western enough and so was your dad but the majority of Muslims in Europe would like sharia law.	1	test
39	Esin Ayse Kaya ,respect .You are the proof that this religion need to be update by people like you .MUST be updated ! Unfortunately , muslims like you are not so many and when they talk ,they become targets of the angriness of the others religious brothers.....	0	test
41	You can shut up if you want. Actually that would be highly preferred. :)	1	test
42	@ Delfina Jones, three things: 1. Extreme Ethnocentrism to the point of disregarding others' opinions and putting yours at highest 2. Insulting people's opinions to raise your own to prove you're right 3. The Islam faith is one like Christianity where Christianity dominates a lot of Europe and the western Countries in which Christianity went through destruction and death to get where it is today (referencing back to religious laws back then in European history, the Crusades, colonization and teaching the beliefs of Christianity using it for manipulation, etc). The Islamic religion is going through a similar scenario of extremists like Christianity did as well as probably all religions (over generalizing but you get the point, hopefully). Many are dying yes, and modernization has let those extremists cause a lot more damage globally however, what must be kept in mind is that there are some who do need help. Ignoring a problem won't make it go away. Yes, countries like yours have internal issues to solve but without the world, globalization from countries other than yours, the country you currently live in wouldn't have developed into the way it is today. Which is most likely pretty modernized. Congratulations, you won the lottery ticket of privilege. Unfortunately others didn't. And you most likely won, as well as many of us, from immigration from the origin of our countries. The reason of immigration may be different for all of us but it's certain that we moved for the reason of a better life. If your family was denied to immigrate, you could've been in the Syrian's shoes or your descendants would have faced more issues while your origin county developed possibly ending your family line, meaning you wouldn't have been born. Try stepping into others' shoes and keep an open mind. Thank you	0	test
43	I see that you're a blonde, case close.	1	test
45	Peter Hallam Moron	0	test
46	Lina Von-Trapp so you're in your 80s	0	test
47	Gialeigh Liou , I don't disregard others opinions but I'm standing by to what I said. Everyone's welcome in my country as long as they are willing to assimilate with regards to local values and culture which majority of Muslim immigrants have failed. And your argument where you have brought up the crusades is pathetic, the best you can do is bring up 12th century events? Do you know which century we currently have? If Islam is going through violent stages then I'd like for it to be going through it in Middle East and Africa, not in Europe where all I care about is the safety of my family and friends.	1	test
48	"And ladies and gentlemen, the example is above, Naaz Dhalla listing positives of sharia law...lmao. This is what's coming, and it's all good since women have ""certain rights"" and they dont rebel so it must be good for them."	1	test
50	I am a free woman and I will die a free woman. The Rest Of The Woman That Do Not Believe They Are Equal To Men And Allow Them To Rule Are Weak woman. We are warriors not kept dolls!	0	test
51	Esin Ayse Kaya What actions do you believe are appropriate for Europe to take to defend themselves against the sort of radical Islamic groups, such as the ones that I showed you in the video, that are growing in size by the day?	0	test
52	David Olend For the west to be longsighted and not support extremists groups at the sake of making money or short term goals. ISIS would not be anywhere as powerful as it is today if western powers didn't illegally occupy iraq and completely remove all army personnel and councillors. Borders were left open and many ex-soldiers started working with al qaeda to fight the occupation. Al qaeda was non existant during Saddam's time. It simply wasn't there. ISIS is an offshoot of al qaeda. The west supported and financed al qaeda against the Russians in Afghanistan. Also the west's attempt of removing bashar by supplying weapons to the ''moderate rebels'' in Syria was just stupid. A lot of these weapons ended up with ISIS making them stronger. We all know that the west supports Saudi Arabia, a big funder of extremists organisations. Saudi Arabia is the UK's biggest purchaser of weapons. The less powerful ISIS and Al Qaeda are the less propaganda there is to brainwash people with. There are many factors leading to the mess we are in and the west's middle east policy is one factor.	1	test
53	David, I wish I knew. If I had that knowledge I would definitely share it. They are sheltered and misguided, their women uneducated, their men brought up with ideas that they are superior. How does one deal with any brainwashed group? Way before this issue came to Europe, I grew up seeing it in Turkey. Yes, Turkey is not run by Sharia law but there are still extreme individuals who take it into their own hands. The only thing I've seen work, and very slowly, is just to start educating those children. Have the next generation more knowledgeable about the world.	1	test
54	Seriously? So your suggestion is to somehow smuggle western learning material to the children of these groups. Wow. Okay, let me ask you this, do you believe that sovereign nations have a right to protect their borders and their citizens against those who pose a threat to them?	0	test
55	Hadi Jawad You are absolutely correct in your analysis of who is responsible for the creation of ISIS. But that wasn't the topic of discussion between Esin Ayse Kaya and myself. There is an immediate threat spreading through Europe at the moment. One that needs to be immediately eliminated.	1	test
56	David Olend I think what Esin meant was that eduction is the key to fighting religious extremism and it's true. That's why Europe needs to stop allowing for so much religious freedom including religious schools etc. Schools need to be secular ,no headscarves in schools, teach Muslim kids since they are little that it's ok to be gay, that women are equal to men etc. This is by the way the least we can do on top of stopping immigration from Muslim countries. I am pro EU but I'd advocate for abolishing of the schengen zone after what Merkel has done.	1	test
57	David, your response has left me bewildered due to the tone of immaturity and I believe you don't understand what I'm talking about. I meant the task of going to school. Education does change ideals, and like I said, it's what I have seen work. Like I also said, I don't have a solution. I'm just sharing what I've seen. My mom started out in a very religious, though not extreme, home. She was the first girl to go to school in her family. After going to school, her view became more modern. She broke off from the idea that women are only supposed to be serving men. I'm sorry if that's not the response you wanted. The current situation is a delicate one. Handle it the wrong way and you end up creating more extremists instead of diminishing their numbers. To answer your next question: I do believe all nations have a right to protect their citizens from any sort of threat. But how to deal with that threat is another issue. All in all.. Just because I am Muslim doesn't mean I am equiped to provide solutions for this situation or any similar situation . I can only tell you my experience. I can only say I don't want to see anyone get hurt. It's ignorant of me to say that but that's just how I feel.	0	test
58	Delfina Jones 1. you just told me that I was sarcastic behind the screen but clearly I wasn't. Do you even know what it even means? . 2. You're telling me that I did not name ONE positive thing that Islam gave to the west. Are you blind? I gave you a very clear point and i STRENGTHEND it with sources. They are NOT opinions. They are clear and strong FACTS. unlike what you babble about 3. You're just repeating the exact same thing: Calling me stupid, making insults about my religion and then telling me that I'm wrong because...your opinion? So to conclude: You are the reason why I wanna bash my head on a wall and forget that I ever read your comments. and please, oh wise one, I challenge you. Name ONE thing that makes islam bad.	1	test
59	David Olend I don't think the threat to Europe is going to be from refugees coming in from Iraq or Syria. If ISIS manages to blow something up in the UK it will be a British or another EU national who will be carrying out these activities. I would assume that any refugee coming in the country would have some tight surveillance on them. What ISIS wants is division because that works in their favour. The more division the easier it is to convince people that there is a big difference between us and them. The more hate crime the more the propaganda will work. So what we can do is show how ridicilous ISIS and other radical groups are. A school program will have to be included in school to teach muslims and non-muslims how groups like ISIS are at crossroads with Islamic teachings. The majority of people killed by ISIS are muslim and they are burning muslim town after town in Syria. Also programs outside school are needed to educate muslims and non-muslims about Islam and to clarify certain scriptures that are causing confusing. Such programs have already started but of course we need to see more. Muslims have been a lot more active in explaining to others about Islam after recent events. So yes education is key.	0	test
60	Sagal Aden I have never called you stupid, but you very conveniently haven't addressed the points I have made. I have already pointed out many things that are bad about Islam: you almost worship a man who was a rapist and a pedophile, your book says that women can be raped if taken into slavery, your book allows a man to take 4 wives yet a woman isn't allowed 4 husbands, is she. Your religion requires total submission, shames women, doesn't allow them to make free choices. You haven't given me any positives about Islam, you have referred to very far past, again what has Islam brought to the west in last 30 years apart from misery, honour killings, bombings, rapes etc. Even Salman Rashdie had fatwa issued against him because he criticized Islam. I'm sorry but your religion doesn't merit respect because it's a religion. It's a choice and represents certain views and ideology and it will be subjected to judgment.	1	test
61	"to not respect a religion it is not the same thing to not respect the people !!!And this is what so many Muslims of our days don t want to understand (and imedialtely call the others ""racists ) ! You, as Muslims, should change your own religion and bring it to our days .2016 (almost ) and then nobody will have nothing to say about it .So ,depends on your capacity to understand this !"	1	test
62	Hadi Jawad Tell me if you agree with the facts and opinions presented in this video. http://www.israelvideonetwork.com/the-untold-story-of-violent-muslim-opinions-graphic-warning/	1	test
63	That's the most self-centered statement I've heard all day. No. We will continue to discuss them until they're safe from harm, have food and can work.	0	test
64	Just to clarify I am not muslim so this is not MY religion. I have had the chance to live in Iraq (half my life), UAE and the UK so I have tiptoed into both worlds ‘us vs them’. Delina: i think the most important thing you have to question is whether muslims believe that these things you mentioned apply today or whether they apply at all. 1. The whole muhammad marrying Aysha at the age of 9 is debated heavily within the muslim community itself. Some say she wasn’t 9. Even if she was we need to remember that we are talking about 1,400 years ago where there are numerous cases of such things happening within that region. Most importantly, do muslims marry 9 year olds. Rarely. I’ve only heard of cases in Egypt and Saudi. So muslims do not agree with this and it rarely occurs. 2. Nearly all muslims believe that the whole slavery thing is misinterpreted. People interpret it as during war when you come across women do not make them the untouchables and that you should marry them if you want (marriage in the quran requires both consents) and treat them equally. With regards to other slaves, muslims believe that their prophet brought a lot of new rights to salves, changing the roman slavery rules. In addition, a lot of slaves were freed. A lot of the things I have read confirm this. 3. The whole marrying 4 i think was there to spread Islam. I have never come across anyone in my life that has married more than 1 and tbh it only happens in some societies like Saudia Arabia. Nearly all muslims marry 1 person. So again applicable then and not now. 4.Women rights. The whole covering your self completely is simply incorrect. Quran requires you to be modest and not for full out covering. It’s more of a culture thing (or should i say a tribal thing) plus people used to wear it for protection from the sand. I am not joking when I say this but during my 13 years in Baghdad i saw less burkas than in my 3 years in London. In the society I lived in, all my friends' muslim moms went to uni, had jobs and lived equally to men. Within the same families you can find women covering their hair and some that don't. Different interpretation of modesty. This is in Iraq, UAE and the UK. Saudi Arabia is not how the majority of muslim women live and really does not represent Islam. FGM for example again only happens in some societies and not across the muslim world. In fact its mostly an african thing and happens a lot in non-muslim countries. 5. Your statement that muslims have only brought misery to the west is a bit extreme. you have put Sunnis, Shias, Alawites, Whabasim, Ahmadeyia, Druze and many others all in one group. Muslim immigration has worked wonderfully in some situations and haven’t worked in other situations. This depends on a lot of factors such as the people coming to the west, the people receiving the immigrants, the programs in place to connect both. For examples, there are so so many muslims in the NHS. If we are going through the route of blaming the whole group then the middle east can say the same about the west. The west has only brought misery to the middle east, from the Sykes-Picot agreement, to the overthrow of the Iranian government in 1953, to supporting Saddam, supporting Al qaeda against the russions, illegally occupying Iraq, supplying weapons to the Syrian rebels, giving weapons to Qaddafi and then taking him out and supporting countries with extreme ideologies. How many dictators have the west supported? Should we block all the west from entering the middle east. Should we build walls around every country in the world. So the misconception people have with Islam is to do with the Quran. Do muslims apply certain verses to their everyday life or do they think that some verses only apply to the past with some parts being story telling. The quran is in arabic, written 1,400 years ago, so are we interpreting the quran correctly? I am sure how things were said 1400 years ago is different to how we speak now. In my experience, most of the muslims i know, and I know a lot given that i used to live in Iraq and the UAE, agree that some versers are not applicable today or they interpret those verses differently. David I couldn’t watch your video for some reason.	0	test
65	No	0	test
66	"Delfina Jones 1. I don't worship a pedophile. I respect and adore a prophet. Placing him into the category of a pedophile is beyond pathetic as he lived 1400 YEARS. 1400 years. People change in 1400 years. In the future, people would call us pedophiles for marrying people at the age of 20-28. That's the problem that you don't seem to understand. It was a norm to marry women at a young age. How can I call someone who lived more than a thousand years ago a rapist if it was a normal thing for EVERY human on the planet at that point to marry young females? Marriage is also a choice in islam. I'm a young woman yet my parents don't force me to marry at a young age. THAT is culture. A culture that has ruined the true image of islam by mixing its own blend to make islam look ""nice"" for them. But it isn't. 2. Slavery is allowed but we rather call it housekeeping as slavery basically means a slave being owned to a master and does everything that the master tells him to do. Islam is against that as it says that all ""slaves"" should wear the same clothes as the master, eat at the dinnertable with its master and to not be forced to do work that is beyond their strength...kind of sounds like a familymember to me. You're not allowed to rape anyone because that is considered Zina: an act that is forbidden by Allah. And the whole marriage by 4 women but women can only marry 1 man: I don't remember exactly but it was something to do with there being more women than men in our world (because war). However, that doesn't mean that a man can just randomly go get a second wife just like that. He has to ask his first wife and if she agrees (nowadays a i doubt that), he has to go through his finances so he knows that he's able to take care of a second. I doubt even more that there will be a woman that would want to share their love for a husband with another which makes it harder for a man to find a second wife. If men aren't capable of taking care of one wife (as it says in the quran but you don't seem to care about that), the man MUST settle with having one. Also, nowehere in the quran does it state how many husbands a woman can have but yes it does say a man can have 4 wives. For women, it would mean that she could marry as many as she pleases (though WHY would a woman wanna do that? I don't wanna have more than one husband and I know for certain that we would enjoy putting our efforts and love for one guy and not many and men would not enjoy having to share their love for one woman but some regions in the world have different norms (which i'm TRYING TO POINT OUT because the prophet and those who lived with him existed in a different time with DIFFERENT norms). Today we have somewhat the same norms but because of differences in timeline, we change alot for the better but know that we can follow the same norms. It's just that it's very important to make everyone and God happy . 2. Slavery is allowed but we rather call it housekeeping as slavery basically means a slave being owned to a master and does everything that the master tells him to do. Islam is against that as it says that all ""slaves"" should wear the same clothes as the master, eat at the dinnertable with its master and to not be forced to do work that is beyond their strength...kind of sounds like a familymember to me. You're not allowed to rape anyone because that is considered Zina: an act that is forbidden by Allah. And the whole marriage by 4 women but women can only marry 1 man: I don't remember exactly but it was something to do with there being more women than men in our world (because war). However, that doesn't mean that a man can just randomly go get a second wife just like that. He has to ask his first wife and if she agrees (nowadays a i doubt that), he has to go through his finances so he knows that he's able to take care of a second. I doubt even more that there will be a woman that would want to share their love for a husband with another which makes it harder for a man to find a second wife. If men aren't capable of taking care of one wife (as it says in the quran but you don't seem to care about that), the man MUST settle with having one. 3. You want to know the positives that Islam has brought 30 YEARS FROM NOW? You weren't being clear with your point as you challenged me to state the positive things that Islam has brought to the west. I did but you are so reluctant to holding on to your opinion because 30 years ago, many ARABIC countries, not islamic, ARABIC countries decided to rebel against their leaders, resulting in new leaders and more rebellious groups are formed to overthrow the leaders. They use anything that is necessary to take down the leader and when they do, they have NO IDEA on how to govern at all. Are these muslims? Of course not. If strongly hold on to your actions and blame people when clearly there were better options (peace deals), then you're not a muslim. You're an idiot. Ignorant idiots. 4. The BIGGEST issue that I have with people criticizing isla m is that they point out issues with countries and how they govern. Both sides (the west AND ""muslim"" countries) are doing everything they can, knowingly and unknowingly sabbotaging the religion that once stated that through knowledge and peace, there will be victory. The problem isn't interely muslim countries, it's nationalism. It still exists and is the main reason why many have such hatred and rage towards others. even countries considered ""muslim"" have a grudge against each other (look at Saudi Arabia and Iran). Islam is a religion that unifies people, wether colour, race, sex, age or ethnicity. All it takes is an open mind and you might learn things beyond the screams and echoes from the media. I have watched Christianity and its history, I have seen the issues with Zionism vs Judaism, I have heard of people who believe in Buddhism but do terrible acts against others. WE humans are responsible for OUR actions and what we bring forth to our religion. Islam is always waiting for people to listen to it but many have always glared behind for other things and sometimes turned their cheeks. I CAN BRING a good image of Islam and I can also BRING a bad image of it aswell but Islam as a whole is never changed. It stays the same. Only I can become distorted or bad. THAT is why you see muslims bombing themselves and killing in the name of God: They are enraged, confused and don't know about Islam. When you live in a place where foreigners (US) have bombed, destroyed unity, taken their properties and placed terrible leaders there, what are the odds that you end up becoming confused of the situation, just like many, and do everything necessary to take back the good times. Suddenly you get it back but what CAN you do? You don't know how to govern, you know how to fight. All rebellious groups start out well, fighting for justice and then suddenly along the way, they become confused and even mad with power and strength that God has given them, only to use it to hurt others and blame God for that. There is a problem in these places but to solve it, PEOPLE NEED TO STOP BALING EVERYTHING ON ISLAM AND GET THEIR BUTTS OFF OF THESE PLACES and I'm talking mainly about the US. PS: My religion is MY choice but just like you have your choice, I wish to respect it and the same should go with you."	1	test
67	Are you human, Delfina Jones? When your ancestral lot thrashed themselves at the mercy of other foreign lands, others gave welcome to them. How can you be such a sociopath to feel comfortable enough to suggest that people in need be shut out? You are sick. Can we just shut up about you, Delfina? Can you just return to your residence and get out of your holiday picture area? Perhaps you should be excluded from travel to other holiday destinations?	1	test
68	"Because most of them aren't in need you naive fool. Bbc is showing you these heartbreaking images of refugees while in reality most of them settled in Libanon and Jordan and the rest is dying. Those that come to Europe are greedy violent opportunists and economic migrant. But like a naive fool that you obviously are you believe in everything that leftist media shows you, Robert Hidalgo. And that ""holiday destination"" is in my own country, moron."	1	test
69	Delfina Most of them settled in Lebanon? You make it sound so nice. 70% of the 1m Syrian refugees in Lebanon live below the poverty line. Jordan and Lebanon are tiny tiny countries. http://www.un.org/apps/news/story.asp?NewsID=52893#.Vnue_UK0m20 This is not how you describe settled darling. 36% of those entering Europe are children and women. But in your eyes even muslim children are violent. We all know that there are more men entering because the route to europe is risky with lots of people dying. But not to worry, in the UK the figures will be much better as they will be taking families from the camps themselves so the minority will be men.	0	test
70	Hadi Jawad I am familiar with UN statistics. I was talking about make immigrants from countries other than Syria who traveled to Europe. Even Syrian refugees however broke the law when they refused to register in Hungary and demanded to go to Germany and Sweden, countries with the highest welfare. If you're escaping from a war torn country to be safe, then you're safe but you're very poor so you go to another country which is also not good enough so you travel through 9 more to get to the best one then you're not a refugee. Also that 64% of men are cowards, west should arm them and send them to fight isis just like our grandparents fought the nazis.	1	test
71	Delfina you mentioned Lebanon and Jordan. Most of the refugees that have gone there in the past year will be Syrian. 70% live below the poverty line. Also you point of refugees going to the other countries in Europe is not valid. Germany said that it will accept 800k. So why wouldn't you go to such a country who has the infrastructure to take you in and make use of your skills. Why would anyone stay in Hungary? have you seen how they have treated the refugees? Like animals. A couple of questions regarding Syrians being cowards that I hope you can answer: 1. Who are the Syrian people supposed to push out? Bashar/government? Al Qaeda? ISIS? or the hundred other rebel factions fighting? 2. Where are you supposed to get the money to buy the weapons? Did your grandparents find the weapons under their house or were they supplied by your government? 3. Would you keep your family under ISIS control while you are fighting? Would you take the risk that your child may be taken away at any moment or that an airstrike will come and kill the whole family? 4. Are all refugees leaving war cowards? Are Jews cowards for leaving Germany? 5. ISIS knocks on your door and tells you come with us now you need to fight or we kill your family. What do you do? This also means killing civilians. 6. The government knocks on your door and tells you come with us now you need to fight or we kill your family. What do you do? This also means killing civilians. You clearly have a problem with all muslims, be them children, women or trees because to you there is one type of muslim. They are all the same.	0	test
72	The real solution for refugee crisis is if you don't like refugees, than stop making them refugees by bombing their homelands !!! Dimwits	1	test
73	Accepted long before your advice!!	0	test
74	Telling now, to Isis and its creators.	0	test
75	White House created the mujahideen, Alqaida, Isis and Talibans. Hillary and tony Blair already have accepted the charges. Muppet!! Only inhumans could kill millions of Native Americans to establish their imperialist Govt. To what religion did these bombers of Hiroshima & Nagasaki belong? To what religion belonged the killers of 5 million Iraqi civilians who invaded their country in search of non existent WMD! Double standards yield twisted judgments... To what religion did Hitler belong?	1	test
76	So then Azim, you are saying all christians are bad?	0	test
77	Nope	0	test
78	USA use atomic bomb in Hiroshima and Nagasaki And come to Iraq to judge Saddam Hussein because he use chemical weapons as they claim USA government us the evil in earth and they call us terrorist	1	test
79	There's war and then there's rapists paedophilia atrocities and the Geneva convention NO HUMAN SHOULD SUFFER what Hitler did and what these vile subhumans are doing today I don't see anybody forcing their hands!!	1	test
80	"Leah Jo, Wars In the Middle East Have Created More Terrorists!! Security experts including both conservatives and liberals in America agree that waging war in the Middle East weakens International security and increases terrorism. Killing innocent civilians is one of the main things which increases terrorism. Starting wars against states which do not pose an imminent threat to International security increases the threat of terrorism because: One of the principal causes of terrorism is injuries to people and families. The Iraq war wasn’t even fought to combat terrorism. And Al Qaeda wasn’t even in Iraq until the U.S. invaded that country. So the widespread program of war on terror and torture under the Bush administration didn’t help. If we want a better world than there shouldn't be selective humanity and sympathy, Emphasis should be on as you stated ""NO HUMAN SHOULD SUFFER""."	0	test
81	I'm all for pulling all of our troops resources and funding.. Leave all of you to your own methods.	0	test
82	Azim you are absolutely right regarding the cause for all of this misery... The CIA should have stayed the hell out of everyone else's business... But behind the CIA is the new world order and George Soros... People are waking up to the truth ... And they got everyone fighting everyone else while they steal everybody's freedom😡😎	1	test
83	It's good as long as they stay in the Middle East...	1	test
84	Lebanon is in the middle-east....	0	test
85	I know it, I said Lebanon because the people in the video are in Beirut...	0	test
86	Alessio Ruda lol,pmsl,,so,let me get this right,you want these people to stay in Lebanon,because these people are in Beirut not Lebanon?	0	test
87	They are blaming america for their civil war	0	test
88	Neil, you're too dumb to understand what I wrote.	1	test
89	Nd now they are very thirsty for non muslim blood	1	test
90	Look at this pakistani piglet.. We are debating on isis and syrian refugees but you porks are always sucks our dicks	1	test
91	so rude	0	test
92	You should said that to the Europeans in WWII when their refugees fled to North Africa .(butthole)	1	test
93	Azoga, you live in the Usa and can't even speak English properly... Go back to Morocco, Muslim!	1	test
